"","sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G3"
"44","M",15,1,1,0,"5th-9th grade","5th-9th grade",2,2,1,"<15mins","<2hrs",0,1,1,0,0,1,1,1,0,"excellent","high","very low","very low","very low","very low",0,8,11
"45","F",16,1,0,0,"5th-9th grade","5th-9th grade",3,1,1,"15-30mins","2-5hrs",1,1,0,0,1,1,1,1,0,"good","not sure","not sure","low","low","very high",14,10,9
"46","F",15,1,0,1,"higher education","secondary education",3,3,0,"<15mins","2-5hrs",0,1,1,1,1,1,1,1,1,"excellent","low","low","very low","very low","very high",8,8,6
"47","F",16,1,0,1,"secondary education","secondary education",3,2,0,"<15mins","2-5hrs",0,0,1,0,0,1,1,1,0,"bad","not sure","very high","very low","high","not sure",12,11,11
"48","M",16,1,1,0,"higher education","secondary education",4,2,0,"<15mins",">10hrs",0,0,0,0,1,1,1,1,0,"good","low","low","very low","very low","low",4,19,20
"49","M",15,1,1,0,"higher education","5th-9th grade",0,3,0,"<15mins","2-5hrs",0,0,1,1,0,1,1,0,0,"good","not sure","not sure","low","low","very high",2,15,14
"50","F",15,1,1,0,"higher education","higher education",2,0,1,"<15mins","2-5hrs",1,1,1,0,1,0,1,1,0,"good","high","high","very low","very low","not sure",2,7,7
"51","F",16,1,0,0,"5th-9th grade","5th-9th grade",2,2,0,"30mins-1hr","2-5hrs",0,0,1,1,0,1,1,1,0,"good","not sure","not sure","low","not sure","high",2,12,13
"52","F",15,1,0,0,"higher education","5th-9th grade",4,3,0,"<15mins","2-5hrs",0,0,1,1,0,1,1,1,0,"good","not sure","not sure","very low","very low","very high",2,11,13
"53","M",15,1,0,1,"higher education","5th-9th grade",4,4,1,"15-30mins","<2hrs",1,0,0,0,0,1,1,0,0,"excellent","very high","very high","not sure","high","very high",6,11,10
"54","F",15,1,1,0,"higher education","higher education",2,2,0,"<15mins","<2hrs",0,1,1,1,0,1,1,1,0,"not sure","not sure","high","low","not sure","very high",0,8,11
"55","F",15,1,0,1,"secondary education","secondary education",3,3,0,"<15mins","<2hrs",0,0,0,1,0,1,1,1,0,"excellent","not sure","high","high","high","very low",6,10,13
"56","F",16,1,1,1,"5th-9th grade","primary education",3,3,0,"<15mins","2-5hrs",0,0,0,1,1,1,1,1,1,"excellent","not sure","high","very low","very low","low",8,8,10
"57","F",15,1,1,1,"higher education","secondary education",2,2,0,"<15mins","2-5hrs",0,0,1,1,1,1,1,1,0,"good","not sure","low","very low","very low","very low",0,14,15
"58","M",15,1,1,0,"higher education","higher education",0,4,0,"<15mins","2-5hrs",0,0,1,0,1,1,1,0,0,"not sure","low","low","very low","very low","very high",4,14,15
"59","M",15,1,0,0,"primary education","5th-9th grade",3,1,1,"<15mins","2-5hrs",0,1,1,0,1,1,1,1,0,"good","not sure","low","very low","very low","very high",2,9,9
"60","F",16,1,1,0,"higher education","5th-9th grade",2,3,0,"<15mins","2-5hrs",0,0,1,0,0,1,1,1,0,"good","low","not sure","very low","very low","very high",2,15,16
"61","F",16,0,1,0,"higher education","higher education",4,0,0,"<15mins","2-5hrs",0,0,1,0,1,1,1,0,0,"bad","high","high","low","not sure","high",6,10,11
"62","F",16,1,1,0,"primary education","primary education",2,2,1,">1hr","<2hrs",0,1,1,0,1,0,1,1,1,"excellent","very high","very high","very high","very high","very high",6,10,11
"63","F",16,1,0,0,"primary education","5th-9th grade",3,2,1,"<15mins","2-5hrs",0,1,0,0,1,1,1,1,0,"good","high","not sure","very low","very low","very low",4,8,9
"64","F",16,1,1,0,"higher education","secondary education",0,4,0,"<15mins","5-10hrs",0,1,1,1,1,1,1,1,0,"not sure","high","high","low","high","high",2,10,9
"65","F",15,1,0,0,"higher education","secondary education",2,2,1,"<15mins","2-5hrs",0,1,0,0,1,1,1,1,1,"good","high","high","low","high","low",0,10,10
"66","F",16,1,0,0,"higher education","secondary education",0,2,0,"30mins-1hr","2-5hrs",0,0,1,0,1,1,1,1,0,"excellent","high","not sure","very low","low","very low",2,16,15
"67","M",15,1,1,1,"higher education","higher education",3,2,0,"<15mins",">10hrs",0,0,1,0,1,0,1,1,1,"very bad","not sure","not sure","very high","very high","not sure",4,13,12
"68","F",16,1,1,0,"secondary education","primary education",2,3,0,"<15mins",">10hrs",0,1,1,1,0,1,1,1,0,"good","not sure","not sure","very low","low","very high",4,7,6
"69","F",15,0,0,0,"5th-9th grade","5th-9th grade",4,2,0,"15-30mins","2-5hrs",0,1,1,1,0,1,1,1,0,"good","very low","not sure","very low","not sure","high",2,8,8
"70","F",15,0,0,0,"secondary education","primary education",3,3,1,"15-30mins",">10hrs",0,0,1,0,0,0,1,1,0,"good","high","low","low","not sure","not sure",12,16,16
"71","M",16,1,1,0,"secondary education","primary education",3,3,1,"15-30mins",">10hrs",0,0,1,1,0,1,1,1,0,"good","not sure","low","very low","very low","very high",0,13,15
"72","M",15,1,1,0,"higher education","5th-9th grade",3,3,0,"<15mins",">10hrs",0,0,0,0,0,1,1,1,0,"not sure","not sure","not sure","very low","very low","not sure",0,10,10
"73","F",15,0,1,0,"primary education","primary education",3,3,0,"<15mins","2-5hrs",2,1,1,0,0,0,1,1,1,"not sure","not sure","high","low","high","very high",2,8,5
"74","M",16,1,1,0,"secondary education","primary education",3,3,0,"<15mins","<2hrs",0,0,0,0,1,1,1,0,0,"excellent","not sure","low","low","low","very high",2,12,14
"75","F",16,1,1,0,"secondary education","secondary education",3,2,0,"<15mins","2-5hrs",0,1,1,1,1,1,1,1,0,"good","not sure","not sure","low","high","very high",54,11,11
"76","M",15,1,1,0,"higher education","secondary education",0,3,0,"<15mins","2-5hrs",0,0,1,1,1,1,1,1,0,"good","not sure","not sure","low","not sure","very high",6,9,10
"77","M",15,1,1,0,"higher education","none",0,3,0,"15-30mins",">10hrs",0,0,0,0,1,1,1,1,0,"not sure","high","not sure","very low","very low","very low",8,11,10
"78","F",16,1,1,0,"5th-9th grade","5th-9th grade",3,3,0,"<15mins",">10hrs",0,0,0,1,0,1,1,1,1,"excellent","low","not sure","very low","not sure","not sure",0,11,11
"79","M",17,1,1,0,"5th-9th grade","primary education",3,3,0,"15-30mins","<2hrs",3,1,1,0,1,1,0,1,0,"good","very high","very low","very low","very low","not sure",2,8,10
"80","F",16,1,1,0,"secondary education","higher education",1,3,0,"<15mins","2-5hrs",0,0,1,0,0,1,1,1,0,"bad","high","not sure","very low","low","not sure",12,5,5
"81","M",15,1,1,0,"5th-9th grade","secondary education",3,2,1,"<15mins","<2hrs",0,1,1,1,1,0,1,1,1,"not sure","low","low","very low","not sure","not sure",2,10,12
"82","M",15,1,1,0,"5th-9th grade","secondary education",3,3,0,"<15mins","5-10hrs",0,1,0,1,0,0,1,1,0,"excellent","not sure","low","very low","low","very high",4,11,11
"83","F",15,1,0,0,"secondary education","5th-9th grade",2,3,0,"<15mins","2-5hrs",0,0,1,1,0,1,1,1,0,"good","high","high","very low","very low","very high",10,7,6
"84","M",15,1,0,0,"5th-9th grade","5th-9th grade",2,2,0,"15-30mins","2-5hrs",0,0,0,1,1,1,1,1,0,"excellent","not sure","not sure","very low","not sure","high",4,15,15
"85","F",15,1,1,0,"primary education","primary education",3,3,1,"<15mins","2-5hrs",0,0,1,0,1,0,1,1,0,"good","not sure","low","low","not sure","high",2,9,10
"86","F",15,1,1,0,"higher education","higher education",2,2,1,"15-30mins","2-5hrs",2,0,0,1,0,1,1,1,1,"good","high","high","low","not sure","very high",6,7,8
"87","F",16,1,0,0,"5th-9th grade","5th-9th grade",1,3,0,"<15mins","2-5hrs",0,0,1,0,0,1,1,0,0,"good","not sure","high","very low","low","low",4,8,6
"88","F",15,1,1,0,"higher education","5th-9th grade",3,3,0,"<15mins","5-10hrs",0,0,1,0,1,1,1,1,0,"excellent","not sure","not sure","very low","not sure","very low",4,13,14
"89","M",16,1,1,0,"5th-9th grade","5th-9th grade",2,3,1,"15-30mins","2-5hrs",1,0,0,1,1,0,1,1,0,"good","high","low","very low","very low","not sure",12,11,10
"90","M",16,1,0,1,"higher education","higher education",0,4,0,"<15mins","2-5hrs",0,0,1,0,0,1,1,0,0,"good","very low","not sure","not sure","very high","very high",18,8,7
"91","F",16,1,1,0,"secondary education","secondary education",3,3,0,"<15mins","5-10hrs",0,0,1,1,0,1,1,1,1,"good","not sure","not sure","very low","not sure","high",0,7,8
"92","F",15,1,1,0,"higher education","secondary education",2,3,0,"<15mins","<2hrs",0,0,0,1,1,1,1,1,0,"good","very high","very high","very low","not sure","very low",4,16,18
"93","F",16,1,0,0,"secondary education","primary education",3,3,1,"<15mins","2-5hrs",0,1,1,0,0,1,1,0,0,"not sure","not sure","not sure","low","not sure","low",4,7,6
"94","F",16,1,1,0,"higher education","5th-9th grade",0,2,0,"15-30mins","2-5hrs",0,0,1,1,1,1,1,1,0,"excellent","not sure","not sure","very low","very low","very low",0,11,10
"95","M",15,1,0,0,"5th-9th grade","5th-9th grade",2,4,0,"<15mins",">10hrs",0,0,1,0,1,1,1,1,0,"good","not sure","high","very low","very low","high",6,11,14
"96","F",15,0,1,0,"primary education","primary education",1,3,0,"15-30mins",">10hrs",1,1,1,1,1,1,1,1,0,"not sure","very low","low","very low","very low","very low",2,7,10
"97","M",16,0,1,0,"higher education","secondary education",2,3,0,"15-30mins","<2hrs",0,1,1,0,1,0,1,1,0,"not sure","not sure","not sure","very low","very low","high",2,11,15
"98","F",16,1,1,0,"5th-9th grade","primary education",3,3,0,"<15mins","2-5hrs",0,0,1,1,0,1,1,0,1,"good","not sure","very high","very low","very low","very high",2,8,10
"99","F",16,1,1,0,"higher education","higher education",3,3,0,"<15mins","<2hrs",0,0,0,0,1,0,1,1,0,"excellent","not sure","high","very low","low","very low",6,11,14
"100","F",16,1,1,0,"higher education","secondary education",3,1,0,"<15mins","5-10hrs",0,1,1,1,0,1,1,1,0,"excellent","not sure","very high","very low","very low","not sure",0,7,8
"101","M",16,1,1,0,"higher education","higher education",2,2,0,"<15mins","<2hrs",0,1,1,1,1,1,1,1,0,"good","very high","very high","very high","very high","high",14,7,5
"102","M",16,1,1,0,"higher education","higher education",2,0,1,"<15mins","5-10hrs",0,0,1,0,1,1,1,1,1,"good","high","not sure","very low","very low","high",0,16,17
"103","M",15,1,1,0,"higher education","higher education",2,3,0,"<15mins","<2hrs",0,0,1,0,1,0,1,1,0,"excellent","not sure","not sure","very low","very low","very high",4,10,14
"104","F",15,1,1,0,"secondary education","5th-9th grade",2,3,0,"15-30mins","2-5hrs",0,1,1,1,0,1,1,1,0,"good","not sure","very high","very low","very low","low",26,7,6
"105","M",15,1,1,1,"secondary education","higher education",2,3,0,"<15mins","2-5hrs",0,0,1,1,1,1,1,1,0,"excellent","high","high","very low","very low","very low",0,16,18
"106","F",15,1,1,1,"secondary education","secondary education",3,4,1,"<15mins",">10hrs",0,1,0,0,0,1,1,0,0,"good","not sure","not sure","very low","very low","high",10,10,11
"107","F",15,1,1,0,"5th-9th grade","5th-9th grade",3,3,0,"<15mins",">10hrs",0,1,1,1,0,1,1,1,0,"excellent","very low","low","very low","very low","not sure",8,7,8
"108","M",16,1,1,0,"secondary education","secondary education",2,3,1,"<15mins","5-10hrs",0,0,1,0,1,1,1,1,0,"excellent","not sure","not sure","very low","very low","very high",2,16,18
"109","M",15,0,1,0,"higher education","higher education",3,3,1,">1hr",">10hrs",0,0,1,1,1,1,1,1,1,"very bad","not sure","very high","not sure","very high","very low",6,10,13
"110","F",16,1,0,0,"higher education","higher education",4,4,0,"<15mins","5-10hrs",0,0,1,1,1,1,1,1,1,"excellent","high","very high","very low","very low","high",4,14,16
"111","M",15,1,0,1,"higher education","higher education",0,0,0,"<15mins","<2hrs",0,0,0,0,1,1,1,1,0,"excellent","very high","not sure","very low","very low","high",6,18,19
"112","F",16,0,1,0,"secondary education","secondary education",2,3,1,"<15mins","5-10hrs",1,1,1,0,1,1,1,1,0,"good","very low","low","very low","very low","low",0,7,10
"113","F",16,1,1,0,"5th-9th grade","5th-9th grade",1,3,0,"<15mins","2-5hrs",1,1,0,0,1,1,1,1,0,"not sure","very low","low","very low","very low","very high",6,10,13
"114","M",15,1,0,0,"higher education","5th-9th grade",0,3,0,"<15mins","<2hrs",0,0,0,0,0,1,1,1,0,"not sure","very high","low","very low","very low","not sure",10,18,19
"115","M",15,0,1,0,"5th-9th grade","primary education",4,2,0,"<15mins","2-5hrs",0,0,0,0,1,1,1,1,1,"excellent","high","low","very low","very low","very high",8,9,9
"116","M",16,1,1,0,"higher education","higher education",0,0,1,"<15mins","2-5hrs",0,0,1,0,1,1,1,1,0,"excellent","high","high","very low","low","very high",2,15,16
"117","M",15,1,1,0,"higher education","higher education",3,0,1,"15-30mins","2-5hrs",0,0,1,0,1,1,1,0,0,"good","high","not sure","very low","very low","low",2,11,14
"118","M",16,1,1,0,"secondary education","secondary education",3,2,1,"15-30mins","<2hrs",0,0,0,0,1,1,1,1,0,"excellent","high","low","very low","very low","very high",0,13,13
"119","M",17,0,1,0,"primary education","secondary education",3,3,1,"30mins-1hr","2-5hrs",1,0,1,0,1,1,1,1,0,"excellent","low","high","very low","high","very high",20,9,8
"120","M",15,1,1,0,"secondary education","higher education",3,3,1,"<15mins","<2hrs",0,0,0,0,0,1,1,1,0,"not sure","high","not sure","very low","low","high",6,14,13
"121","F",15,1,1,0,"primary education","5th-9th grade",1,2,0,"<15mins","2-5hrs",0,0,0,0,0,0,1,1,0,"not sure","low","not sure","very low","low","very low",2,16,15
"122","M",15,1,1,0,"5th-9th grade","5th-9th grade",2,2,1,"<15mins",">10hrs",0,0,1,1,1,1,1,1,0,"excellent","very high","high","very low","low","very high",6,16,15
"123","F",16,1,0,0,"5th-9th grade","higher education",3,4,1,"15-30mins","2-5hrs",0,0,1,1,1,1,1,1,1,"good","low","low","very low","low","very high",2,13,13
"124","M",16,1,1,0,"higher education","higher education",4,3,0,"<15mins","<2hrs",0,0,1,0,1,1,1,1,0,"not sure","high","high","very low","high","very high",18,14,13
"125","F",16,1,1,0,"5th-9th grade","5th-9th grade",3,3,0,"<15mins","2-5hrs",0,0,0,1,0,1,1,1,1,"excellent","high","high","very low","very low","very high",0,8,8
"126","M",15,1,1,0,"secondary education","higher education",2,2,1,"<15mins","<2hrs",0,1,0,0,0,1,1,1,0,"excellent","very high","very high","not sure","low","very high",0,13,12
"127","F",15,1,0,1,"secondary education","higher education",3,3,0,"<15mins","2-5hrs",0,1,0,0,1,1,1,1,1,"excellent","not sure","low","very low","very low","very low",0,7,11
"128","F",19,1,1,0,"none","primary education",1,3,2,"<15mins","2-5hrs",3,0,1,0,0,0,0,0,0,"not sure","high","low","very low","very low","very high",2,7,9
"129","M",18,0,1,0,"5th-9th grade","5th-9th grade",2,3,0,"<15mins","<2hrs",2,0,1,0,1,1,1,1,0,"not sure","not sure","not sure","very low","low","high",0,7,0
"130","M",16,0,1,0,"higher education","higher education",0,0,0,"<15mins","<2hrs",0,0,0,1,1,1,1,1,0,"not sure","very high","very high","low","very high","high",8,18,18
"131","F",15,0,1,0,"secondary education","higher education",2,0,1,"15-30mins","5-10hrs",2,0,1,0,0,1,1,1,1,"good","low","low","low","low","very high",0,12,0
"132","F",15,1,1,0,"primary education","primary education",1,3,0,"30mins-1hr","<2hrs",0,0,1,0,1,0,1,1,1,"good","not sure","not sure","very low","low","high",0,8,0
"133","F",17,1,0,0,"5th-9th grade","5th-9th grade",3,3,1,"<15mins","<2hrs",0,0,1,0,0,1,1,1,1,"not sure","high","high","very low","not sure","very high",12,10,12
"134","F",16,1,1,1,"secondary education","higher education",2,3,1,"<15mins","<2hrs",0,0,0,0,0,1,1,1,0,"not sure","low","very low","very low","high","very high",16,12,11
"135","M",15,0,1,0,"secondary education","higher education",1,0,0,">1hr","2-5hrs",0,0,1,0,0,1,1,0,1,"excellent","not sure","not sure","very low","very low","very high",0,9,0
"136","F",15,1,1,0,"higher education","higher education",2,1,0,"<15mins","5-10hrs",0,0,1,0,1,1,1,1,1,"good","not sure","not sure","very low","very low","very high",0,11,0
"137","M",17,0,1,0,"secondary education","higher education",1,3,0,"30mins-1hr","2-5hrs",0,0,0,0,0,1,1,0,0,"excellent","high","very high","low","high","very high",0,10,0
"138","F",16,1,1,1,"secondary education","secondary education",3,3,2,"15-30mins","<2hrs",2,0,1,0,1,0,1,1,1,"good","not sure","low","very low","very low","very high",0,4,0
"139","M",16,1,0,0,"primary education","primary education",2,3,0,"<15mins","2-5hrs",1,0,0,0,0,1,1,0,1,"good","high","high","very low","not sure","very high",0,14,12
"140","F",15,1,1,0,"higher education","higher education",0,0,0,"15-30mins","<2hrs",0,0,0,0,1,1,1,1,0,"good","not sure","low","very low","very low","very high",0,16,15
"141","M",15,1,1,0,"higher education","secondary education",0,2,1,"15-30mins",">10hrs",0,1,1,0,0,1,1,1,0,"bad","low","low","very low","very low","not sure",0,7,0
"142","M",16,1,0,0,"5th-9th grade","5th-9th grade",2,2,1,"15-30mins","<2hrs",2,0,1,0,1,1,1,1,0,"bad","not sure","not sure","low","low","low",8,9,9
"143","F",15,1,1,0,"higher education","higher education",0,2,0,"<15mins","5-10hrs",0,0,1,1,1,1,1,1,0,"good","low","low","very low","very low","very high",2,9,11
"144","F",16,1,0,0,"primary education","primary education",1,1,0,"<15mins","<2hrs",0,0,0,0,0,1,1,1,0,"not sure","high","high","not sure","not sure","very low",2,14,13
"145","M",17,1,1,0,"5th-9th grade","primary education",3,3,0,"<15mins","<2hrs",3,0,1,0,0,1,1,1,0,"excellent","high","very high","very low","low","very high",0,5,0
"146","F",15,1,1,0,"primary education","primary education",3,2,1,"<15mins","2-5hrs",0,0,1,1,0,1,1,1,0,"good","high","low","very low","low","very high",0,8,11
"147","F",15,1,1,0,"secondary education","5th-9th grade",4,2,1,"<15mins","2-5hrs",3,0,1,0,0,1,1,1,0,"not sure","not sure","low","very low","very low","not sure",0,6,0
"148","F",15,1,1,0,"primary education","5th-9th grade",1,3,0,"<15mins","2-5hrs",0,0,1,1,0,0,1,1,0,"good","not sure","low","very low","very low","very high",2,10,11
"149","M",16,1,1,0,"higher education","higher education",0,0,0,"<15mins","<2hrs",0,0,1,0,0,1,0,1,1,"not sure","not sure","low","low","very low","very high",0,7,0
"150","M",15,1,0,1,"5th-9th grade","primary education",2,3,0,">1hr","<2hrs",3,0,0,0,0,1,1,1,0,"good","very high","very high","low","very high","very high",0,8,10
"151","M",18,1,0,0,"primary education","primary education",3,3,0,"<15mins","<2hrs",3,0,0,0,0,1,0,1,1,"bad","not sure","very high","low","very high","high",0,6,0
"152","M",16,1,0,0,"5th-9th grade","primary education",1,3,0,"<15mins","<2hrs",1,0,0,0,1,1,1,0,1,"good","high","high","not sure","very high","very high",6,12,14
"153","F",15,0,1,0,"secondary education","secondary education",2,2,2,"15-30mins","5-10hrs",2,0,1,1,1,1,1,1,1,"good","low","very low","low","not sure","not sure",8,10,10
"154","M",19,1,1,0,"secondary education","5th-9th grade",2,1,0,"<15mins","<2hrs",3,0,1,0,0,1,0,1,1,"good","very high","high","very low","very low","high",0,5,0
"155","F",17,1,1,0,"higher education","higher education",3,0,0,"<15mins","<2hrs",0,1,1,0,0,1,1,0,1,"good","low","very low","very low","very low","high",0,11,12
"156","M",15,0,1,0,"5th-9th grade","secondary education",1,2,0,"<15mins","2-5hrs",0,1,0,1,1,1,1,0,0,"good","high","high","very low","very low","very low",2,11,8
"157","M",17,0,0,0,"primary education","5th-9th grade",3,3,0,"<15mins","<2hrs",0,0,0,0,0,1,1,0,0,"bad","low","low","not sure","not sure","very high",8,16,13
"158","F",18,0,1,0,"primary education","primary education",1,3,0,"30mins-1hr","<2hrs",3,0,1,0,1,0,1,0,0,"excellent","low","very high","very low","very high","high",6,9,10
"159","M",16,0,1,0,"5th-9th grade","5th-9th grade",1,3,0,"30mins-1hr","<2hrs",0,0,0,0,0,0,1,0,0,"good","low","low","very low","low","not sure",2,17,15
"160","M",16,1,1,0,"secondary education","secondary education",3,2,1,"<15mins","2-5hrs",1,0,1,1,0,1,1,1,1,"good","very high","very high","high","high","very high",4,10,12
